fips,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01129,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01131,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01133,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
04001,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04003,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04005,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04007,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04009,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04011,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04012,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04013,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04015,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04017,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
