fips,2022,2023,2024
12069,265.334,124.75,99.75
12071,265.334,124.75,99.75
12073,265.334,124.75,99.75
12075,265.334,124.75,99.75
12077,265.334,124.75,99.75
12079,265.334,124.75,99.75
12081,265.334,124.75,99.75
12083,265.334,124.75,99.75
12085,265.334,124.75,99.75
12086,265.334,124.75,99.75
12087,265.334,124.75,99.75
12089,265.334,124.75,99.75
12091,265.334,124.75,99.75
12093,265.334,124.75,99.75
12095,265.334,124.75,99.75
12097,265.334,124.75,99.75
12099,265.334,124.75,99.75
12101,265.334,124.75,99.75
12103,265.334,124.75,99.75
12105,265.334,124.75,99.75
12107,265.334,124.75,99.75
12109,265.334,124.75,99.75
12111,265.334,124.75,99.75
12113,265.334,124.75,99.75
12115,265.334,124.75,99.75
12117,265.334,124.75,99.75
12119,265.334,124.75,99.75
12121,265.334,124.75,99.75
12123,265.334,124.75,99.75
12125,265.334,124.75,99.75
12127,265.334,124.75,99.75
12129,265.334,124.75,99.75
12131,265.334,124.75,99.75
12133,265.334,124.75,99.75
13001,265.334,124.75,99.75
13003,265.334,124.75,99.75
13005,265.334,124.75,99.75
13007,265.334,124.75,99.75
13009,265.334,124.75,99.75
13011,265.334,124.75,99.75
13013,265.334,124.75,99.75
13015,265.334,124.75,99.75
13017,265.334,124.75,99.75
13019,265.334,124.75,99.75
13021,265.334,124.75,99.75
13023,265.334,124.75,99.75
13025,265.334,124.75,99.75
13027,265.334,124.75,99.75
13029,265.334,124.75,99.75
13031,265.334,124.75,99.75
13033,265.334,124.75,99.75
13035,265.334,124.75,99.75
13037,265.334,124.75,99.75
13039,265.334,124.75,99.75
13043,265.334,124.75,99.75
13045,265.334,124.75,99.75
13047,265.334,124.75,99.75
13049,265.334,124.75,99.75
13051,265.334,124.75,99.75
13053,265.334,124.75,99.75
13055,265.334,124.75,99.75
13057,265.334,124.75,99.75
13059,265.334,124.75,99.75
13061,265.334,124.75,99.75
13063,265.334,124.75,99.75
13065,265.334,124.75,99.75
13067,265.334,124.75,99.75
13069,265.334,124.75,99.75
13071,265.334,124.75,99.75
13073,265.334,124.75,99.75
13075,265.334,124.75,99.75
13077,265.334,124.75,99.75
13079,265.334,124.75,99.75
13081,265.334,124.75,99.75
13083,265.334,124.75,99.75
13085,265.334,124.75,99.75
13087,265.334,124.75,99.75
13089,265.334,124.75,99.75
13091,265.334,124.75,99.75
13093,265.334,124.75,99.75
13095,265.334,124.75,99.75
13097,265.334,124.75,99.75
13099,265.334,124.75,99.75
13101,265.334,124.75,99.75
13103,265.334,124.75,99.75
13105,265.334,124.75,99.75
13107,265.334,124.75,99.75
13109,265.334,124.75,99.75
13111,265.334,124.75,99.75
13113,265.334,124.75,99.75
13115,265.334,124.75,99.75
13117,265.334,124.75,99.75
13119,265.334,124.75,99.75
13121,265.334,124.75,99.75
13123,265.334,124.75,99.75
13125,265.334,124.75,99.75
13127,265.334,124.75,99.75
13129,265.334,124.75,99.75
13131,265.334,124.75,99.75
13133,265.334,124.75,99.75
13135,265.334,124.75,99.75
13137,265.334,124.75,99.75
13139,265.334,124.75,99.75
13141,265.334,124.75,99.75
13143,265.334,124.75,99.75
13145,265.334,124.75,99.75
13147,265.334,124.75,99.75
13149,265.334,124.75,99.75
13151,265.334,124.75,99.75
13153,265.334,124.75,99.75
13155,265.334,124.75,99.75
13157,265.334,124.75,99.75
13159,265.334,124.75,99.75
13161,265.334,124.75,99.75
13163,265.334,124.75,99.75
13165,265.334,124.75,99.75
13167,265.334,124.75,99.75
