fips,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01087,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01089,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01091,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01093,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01095,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01097,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01099,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01101,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01103,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01105,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01107,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01109,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01111,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
