fips,2017,2018,2019,2020,2021,2022,2023,2024
01101,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01103,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01105,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01107,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01109,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01111,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01113,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01115,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01117,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01119,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01121,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01123,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01125,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01127,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01129,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01131,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01133,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04001,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04003,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04005,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04007,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04009,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04011,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04012,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04013,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04015,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04017,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04019,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04021,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04023,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04025,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
04027,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05001,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05003,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05005,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05007,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05009,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05011,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05013,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05015,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
05017,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
