fips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01027,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01029,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01031,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01033,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01035,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01037,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01039,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01041,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01043,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01045,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01047,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01049,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01051,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01053,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01055,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01057,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01059,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01061,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01063,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01065,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01067,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01069,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01071,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01073,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01075,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01077,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
