"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=vvvvvvvvvvvvo&endsec=8&linechart=ELEC.PRICE.US-RES.A&columnchart=ELEC.PRICE.US-RES.A&map=ELEC.PRICE.US-RES.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Thu Dec 12 2024 11:59:25 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,,
"All sectors",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,,,,,,,,,,,,,
"Residential : Maryland","cents per kilowatthour","ELEC.PRICE.MD-RES.A",7.67,7.74,7.73,7.80,8.46,9.71,11.89,13.84,14.98,14.32,13.31,12.84,13.25,13.63,13.82,14.23,13.96,13.30,13.12,13.01,13.12,14.46,16.60
"Residential : North Carolina","cents per kilowatthour","ELEC.PRICE.NC-RES.A",8.12,8.19,8.32,8.45,8.65,9.12,9.40,9.52,9.99,10.12,10.26,10.91,10.97,11.10,11.28,11.03,10.94,11.09,11.42,11.38,11.32,11.62,12.93
"Residential : South Carolina","cents per kilowatthour","ELEC.PRICE.SC-RES.A",7.69,7.72,8.01,8.12,8.67,9.03,9.19,9.89,10.44,10.50,11.05,11.77,11.99,12.45,12.57,12.65,13.02,12.44,12.99,12.78,12.86,13.59,13.68
"Residential : Virginia","cents per kilowatthour","ELEC.PRICE.VA-RES.A",7.79,7.79,7.76,7.99,8.16,8.49,8.74,9.62,10.61,10.45,10.64,11.08,10.84,11.10,11.37,11.36,11.55,11.73,12.07,12.03,11.96,13.34,14.26
"Residential : West Virginia","cents per kilowatthour","ELEC.PRICE.WV-RES.A",6.26,6.23,6.24,6.23,6.21,6.35,6.73,7.06,7.90,8.79,9.39,9.85,9.52,9.34,10.08,11.44,11.63,11.18,11.25,11.80,12.15,13.23,14.05
"Residential : East South Central","cents per kilowatthour","ELEC.PRICE.ESC-RES.A",6.51,6.57,6.78,7.12,7.42,8.16,8.35,9.32,9.61,9.58,10.14,10.32,10.40,10.76,10.82,10.86,11.30,11.14,11.36,11.34,11.74,12.96,13.11
"Residential : Alabama","cents per kilowatthour","ELEC.PRICE.AL-RES.A",7.01,7.12,7.39,7.62,8.00,8.75,9.32,10.40,10.66,10.67,11.09,11.40,11.26,11.48,11.70,11.99,12.55,12.18,12.53,12.57,12.96,14.25,14.63
"Residential : Kentucky","cents per kilowatthour","ELEC.PRICE.KY-RES.A",5.58,5.65,5.81,6.11,6.57,7.02,7.34,7.94,8.37,8.57,9.20,9.43,9.79,10.16,10.24,10.49,10.85,10.60,10.80,10.87,11.50,12.91,12.65
"Residential : Mississippi","cents per kilowatthour","ELEC.PRICE.MS-RES.A",7.37,7.28,7.60,8.21,8.71,9.66,9.36,10.39,10.22,9.87,10.17,10.26,10.78,11.32,11.27,10.47,11.08,11.12,11.27,11.17,11.56,12.41,13.23
"Residential : Tennessee","cents per kilowatthour","ELEC.PRICE.TN-RES.A",6.32,6.41,6.55,6.90,6.98,7.75,7.84,8.91,9.32,9.23,9.98,10.10,9.98,10.32,10.30,10.41,10.72,10.71,10.87,10.76,11.07,12.25,12.19
"Residential : West South Central","cents per kilowatthour","ELEC.PRICE.WSC-RES.A",8.45,7.70,8.61,9.05,10.04,11.48,11.15,11.86,11.04,10.67,10.42,10.30,10.74,11.12,10.95,10.59,10.74,10.77,11.17,11.17,11.78,13.39,13.68
"Residential : Arkansas","cents per kilowatthour","ELEC.PRICE.AR-RES.A",7.72,7.25,7.24,7.36,8.00,8.85,8.73,9.27,9.14,8.86,9.02,9.30,9.59,9.51,9.82,9.92,10.28,9.81,9.80,10.41,11.27,12.05,12.25
"Residential : Louisiana","cents per kilowatthour","ELEC.PRICE.LA-RES.A",7.92,7.10,7.84,8.05,8.87,9.14,9.37,10.28,8.10,8.98,8.96,8.37,9.43,9.57,9.33,9.34,9.74,9.59,9.80,9.67,11.02,12.93,11.55
"Residential : Oklahoma","cents per kilowatthour","ELEC.PRICE.OK-RES.A",7.27,6.73,7.47,7.72,7.95,8.55,8.58,9.09,8.49,9.14,9.47,9.51,9.67,10.03,10.14,10.20,10.61,10.30,10.21,10.12,11.00,12.44,12.08
"Residential : Texas","cents per kilowatthour","ELEC.PRICE.TX-RES.A",8.86,8.05,9.16,9.73,10.93,12.86,12.34,13.03,12.38,11.60,11.08,10.98,11.35,11.86,11.56,10.99,11.01,11.20,11.76,11.71,12.11,13.76,14.46
"Residential : Mountain","cents per kilowatthour","ELEC.PRICE.MTN-RES.A",7.80,7.87,8.02,8.24,8.67,8.98,9.31,9.84,10.18,10.49,10.56,10.94,11.31,11.67,11.83,11.65,11.89,11.94,11.81,11.76,12.04,12.79,13.68
"Residential : Arizona","cents per kilowatthour","ELEC.PRICE.AZ-RES.A",8.30,8.27,8.35,8.46,8.86,9.40,9.66,10.27,10.73,10.97,11.08,11.29,11.71,11.90,12.13,12.15,12.44,12.77,12.43,12.27,12.54,13.02,14.02
"Residential : Colorado","cents per kilowatthour","ELEC.PRICE.CO-RES.A",7.47,7.37,8.14,8.42,9.06,9.02,9.25,10.13,10.00,11.04,11.27,11.46,11.93,12.18,12.12,12.07,12.17,12.15,12.18,12.36,13.07,14.19,14.30
"Residential : Idaho","cents per kilowatthour","ELEC.PRICE.ID-RES.A",6.01,6.59,6.24,6.10,6.29,6.21,6.36,6.99,7.80,7.99,7.87,8.67,9.32,9.72,9.93,9.95,10.04,10.15,9.89,9.95,10.16,10.37,11.05
"Residential : Montana","cents per kilowatthour","ELEC.PRICE.MT-RES.A",6.88,7.23,7.56,7.86,8.10,8.28,8.77,9.13,8.94,9.16,9.75,10.08,10.33,10.18,10.88,10.94,10.95,10.96,11.13,11.24,11.22,11.33,12.54
"Residential : Nevada","cents per kilowatthour","ELEC.PRICE.NV-RES.A",9.08,9.43,9.02,9.69,10.20,11.08,11.82,11.93,12.86,12.36,11.61,11.83,11.89,12.93,12.76,11.41,11.99,11.85,12.00,11.34,11.49,13.78,16.67
"Residential : New Mexico","cents per kilowatthour","ELEC.PRICE.NM-RES.A",8.74,8.50,8.69,8.67,9.13,9.06,9.12,10.01,10.02,10.52,11.00,11.37,11.68,12.28,12.47,12.03,12.88,12.68,12.51,12.94,13.52,13.84,13.85
"Residential : Utah","cents per kilowatthour","ELEC.PRICE.UT-RES.A",6.72,6.79,6.90,7.21,7.52,7.59,8.15,8.26,8.48,8.71,8.96,9.93,10.37,10.65,10.88,11.02,10.95,10.41,10.40,10.44,10.43,10.84,11.20
"Residential : Wyoming","cents per kilowatthour","ELEC.PRICE.WY-RES.A",6.77,6.97,7.04,7.21,7.48,7.75,7.75,8.21,8.58,8.77,9.11,9.85,10.16,10.50,10.97,11.13,11.37,11.29,11.18,11.11,11.17,11.09,11.46
"Residential : Pacific Contiguous","cents per kilowatthour","ELEC.PRICE.PCC-RES.A",9.68,10.27,10.11,10.11,10.36,11.62,11.82,11.55,12.15,12.31,12.43,12.94,13.51,13.64,14.28,14.59,15.08,15.56,15.65,16.67,18.01,19.72,22.02
"Residential : California","cents per kilowatthour","ELEC.PRICE.CA-RES.A",12.09,12.64,12.23,12.20,12.51,14.33,14.42,13.81,14.74,14.75,14.78,15.34,16.23,16.25,16.99,17.39,18.31,18.84,19.15,20.45,22.82,25.84,29.51
"Residential : Oregon","cents per kilowatthour","ELEC.PRICE.OR-RES.A",6.29,7.12,7.06,7.18,7.25,7.48,8.19,8.49,8.68,8.87,9.54,9.80,9.90,10.47,10.66,10.66,10.66,10.98,11.01,11.17,11.37,11.42,12.73
"Residential : Washington","cents per kilowatthour","ELEC.PRICE.WA-RES.A",5.70,6.29,6.31,6.37,6.54,6.82,7.26,7.54,7.67,8.04,8.28,8.53,8.70,8.67,9.09,9.48,9.66,9.75,9.71,9.87,10.11,10.26,10.98
"Residential : Pacific Noncontiguous","cents per kilowatthour","ELEC.PRICE.PCN-RES.A",14.64,14.20,14.85,15.84,17.78,19.94,20.56,25.99,21.31,23.22,27.49,28.76,28.56,29.13,25.34,24.36,25.89,28.03,28.30,27.02,28.85,34.51,34.40
"Residential : Alaska","cents per kilowatthour","ELEC.PRICE.AK-RES.A",12.12,12.05,11.98,12.44,13.30,14.83,15.18,16.56,17.14,16.26,17.62,17.88,18.12,19.14,19.83,20.30,21.27,21.94,22.92,22.57,22.55,23.10,23.90
"Residential : Hawaii","cents per kilowatthour","ELEC.PRICE.HI-RES.A",16.34,15.63,16.73,18.06,20.70,23.35,24.12,32.50,24.20,28.10,34.68,37.34,36.98,37.04,29.60,27.47,29.50,32.47,32.06,30.28,33.49,43.03,42.39
