fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01021,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01023,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01025,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01027,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01029,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01031,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01033,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01035,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01037,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01039,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01041,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01043,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
