fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01129,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01131,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01133,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04001,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04003,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04005,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04007,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04009,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04011,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04012,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04013,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04015,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04017,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04019,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04021,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04023,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04025,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
04027,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05001,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05003,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05005,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05007,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05009,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05011,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05013,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05015,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
