fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01087,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01089,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01091,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01093,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01095,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01097,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01099,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01101,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01103,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01105,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01107,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
