fips,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01031,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01033,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01035,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01037,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01039,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01041,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01043,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01045,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01047,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01049,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01051,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01053,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01055,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01057,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01059,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01061,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01063,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01065,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01067,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01069,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01071,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01073,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01075,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01077,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01079,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01081,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01083,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01085,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01087,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01089,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01091,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01093,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01095,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01097,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01099,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01101,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
