fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01097,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01099,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01101,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01103,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01105,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01107,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01109,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01111,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01113,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01115,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
