fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
05011,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05013,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05015,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05017,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05019,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05021,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05023,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05025,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05027,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05029,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05031,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05033,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05035,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05037,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05039,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05041,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05043,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05045,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05047,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05049,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05051,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05053,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05055,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05057,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05059,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05061,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05063,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05065,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05067,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05069,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05071,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05073,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05075,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05077,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
