fips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04007,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04009,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04011,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04012,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04013,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04015,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04017,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04019,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04021,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04023,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04025,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04027,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
05001,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05003,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05005,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05007,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05009,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05011,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05013,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05015,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05017,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05019,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05021,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
