fips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01035,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01037,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01039,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01041,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01043,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01045,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01047,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01049,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01051,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01053,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01055,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01057,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01059,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01061,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01063,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01065,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01067,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01069,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01071,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01073,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01075,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01077,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01079,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01081,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01083,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
