fips,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01047,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01049,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01051,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01053,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01055,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01057,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01059,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01061,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01063,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01065,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01067,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
