fips,2013,2018,2023
17007,115.85,42.31,383.62
17009,115.85,42.31,383.62
17011,115.85,42.31,383.62
17013,115.85,42.31,383.62
17015,115.85,42.31,383.62
17017,115.85,42.31,383.62
17019,115.85,42.31,383.62
17021,115.85,42.31,383.62
17023,115.85,42.31,383.62
17025,115.85,42.31,383.62
17027,115.85,42.31,383.62
17029,115.85,42.31,383.62
17031,115.85,42.31,383.62
17033,115.85,42.31,383.62
17035,115.85,42.31,383.62
17037,115.85,42.31,383.62
17039,115.85,42.31,383.62
17041,115.85,42.31,383.62
17043,115.85,42.31,383.62
17045,115.85,42.31,383.62
17047,115.85,42.31,383.62
17049,115.85,42.31,383.62
17051,115.85,42.31,383.62
17053,115.85,42.31,383.62
17055,115.85,42.31,383.62
17057,115.85,42.31,383.62
17059,115.85,42.31,383.62
17061,115.85,42.31,383.62
17063,115.85,42.31,383.62
17065,115.85,42.31,383.62
17067,115.85,42.31,383.62
17069,115.85,42.31,383.62
17071,115.85,42.31,383.62
17073,115.85,42.31,383.62
17075,115.85,42.31,383.62
17077,115.85,42.31,383.62
17079,115.85,42.31,383.62
17081,115.85,42.31,383.62
17083,115.85,42.31,383.62
17085,115.85,42.31,383.62
17087,115.85,42.31,383.62
17089,115.85,42.31,383.62
17091,115.85,42.31,383.62
17093,115.85,42.31,383.62
17095,115.85,42.31,383.62
17097,115.85,42.31,383.62
17099,115.85,42.31,383.62
17101,115.85,42.31,383.62
17103,115.85,42.31,383.62
17105,115.85,42.31,383.62
17107,115.85,42.31,383.62
17109,115.85,42.31,383.62
17111,115.85,42.31,383.62
17113,115.85,42.31,383.62
17115,115.85,42.31,383.62
17117,115.85,42.31,383.62
17119,115.85,42.31,383.62
17121,115.85,42.31,383.62
17123,115.85,42.31,383.62
17125,115.85,42.31,383.62
17127,115.85,42.31,383.62
17129,115.85,42.31,383.62
17131,115.85,42.31,383.62
17133,115.85,42.31,383.62
17135,115.85,42.31,383.62
17137,115.85,42.31,383.62
17139,115.85,42.31,383.62
17141,115.85,42.31,383.62
17143,115.85,42.31,383.62
17145,115.85,42.31,383.62
17147,115.85,42.31,383.62
17149,115.85,42.31,383.62
17151,115.85,42.31,383.62
17153,115.85,42.31,383.62
17155,115.85,42.31,383.62
17157,115.85,42.31,383.62
17159,115.85,42.31,383.62
17161,115.85,42.31,383.62
17163,115.85,42.31,383.62
17165,115.85,42.31,383.62
17167,115.85,42.31,383.62
17169,115.85,42.31,383.62
17171,115.85,42.31,383.62
17173,115.85,42.31,383.62
17175,115.85,42.31,383.62
17177,115.85,42.31,383.62
17179,115.85,42.31,383.62
17181,115.85,42.31,383.62
17183,115.85,42.31,383.62
17185,115.85,42.31,383.62
17187,115.85,42.31,383.62
17189,115.85,42.31,383.62
17191,115.85,42.31,383.62
17193,115.85,42.31,383.62
17195,115.85,42.31,383.62
17197,115.85,42.31,383.62
17199,115.85,42.31,383.62
17201,115.85,42.31,383.62
17203,115.85,42.31,383.62
18001,107.57,150.0,324.74
18003,107.57,150.0,324.74
18005,107.57,150.0,324.74
18007,107.57,150.0,324.74
18009,107.57,150.0,324.74
18011,107.57,150.0,324.74
18013,107.57,150.0,324.74
18015,107.57,150.0,324.74
18017,107.57,150.0,324.74
18019,107.57,150.0,324.74
18021,107.57,150.0,324.74
18023,107.57,150.0,324.74
18025,107.57,150.0,324.74
18027,107.57,150.0,324.74
18029,107.57,150.0,324.74
18031,107.57,150.0,324.74
18033,107.57,150.0,324.74
18035,107.57,150.0,324.74
18037,107.57,150.0,324.74
18039,107.57,150.0,324.74
18041,107.57,150.0,324.74
18043,107.57,150.0,324.74
18045,107.57,150.0,324.74
18047,107.57,150.0,324.74
18049,107.57,150.0,324.74
18051,107.57,150.0,324.74
18053,107.57,150.0,324.74
18055,107.57,150.0,324.74
18057,107.57,150.0,324.74
18059,107.57,150.0,324.74
18061,107.57,150.0,324.74
18063,107.57,150.0,324.74
18065,107.57,150.0,324.74
18067,107.57,150.0,324.74
18069,107.57,150.0,324.74
18071,107.57,150.0,324.74
18073,107.57,150.0,324.74
18075,107.57,150.0,324.74
18077,107.57,150.0,324.74
18079,107.57,150.0,324.74
18081,107.57,150.0,324.74
18083,107.57,150.0,324.74
18085,107.57,150.0,324.74
18087,107.57,150.0,324.74
18089,107.57,150.0,324.74
18091,107.57,150.0,324.74
18093,107.57,150.0,324.74
18095,107.57,150.0,324.74
18097,107.57,150.0,324.74
18099,107.57,150.0,324.74
18101,107.57,150.0,324.74
18103,107.57,150.0,324.74
18105,107.57,150.0,324.74
18107,107.57,150.0,324.74
18109,107.57,150.0,324.74
18111,107.57,150.0,324.74
18113,107.57,150.0,324.74
18115,107.57,150.0,324.74
18117,107.57,150.0,324.74
18119,107.57,150.0,324.74
18121,107.57,150.0,324.74
18123,107.57,150.0,324.74
18125,107.57,150.0,324.74
18127,107.57,150.0,324.74
18129,107.57,150.0,324.74
18131,107.57,150.0,324.74
18133,107.57,150.0,324.74
18135,107.57,150.0,324.74
18137,107.57,150.0,324.74
18139,107.57,150.0,324.74
18141,107.57,150.0,324.74
18143,107.57,150.0,324.74
18145,107.57,150.0,324.74
18147,107.57,150.0,324.74
18149,107.57,150.0,324.74
18151,107.57,150.0,324.74
18153,107.57,150.0,324.74
18155,107.57,150.0,324.74
18157,107.57,150.0,324.74
18159,107.57,150.0,324.74
18161,107.57,150.0,324.74
18163,107.57,150.0,324.74
18165,107.57,150.0,324.74
18167,107.57,150.0,324.74
18169,107.57,150.0,324.74
18171,107.57,150.0,324.74
18173,107.57,150.0,324.74
18175,107.57,150.0,324.74
18177,107.57,150.0,324.74
18179,107.57,150.0,324.74
18181,107.57,150.0,324.74
18183,107.57,150.0,324.74
19001,78.76,62.31,1229.0
19003,78.76,62.31,1229.0
19005,78.76,62.31,1229.0
19007,78.76,62.31,1229.0
19009,78.76,62.31,1229.0
19011,78.76,62.31,1229.0
19013,78.76,62.31,1229.0
19015,78.76,62.31,1229.0
19017,78.76,62.31,1229.0
19019,78.76,62.31,1229.0
19021,78.76,62.31,1229.0
19023,78.76,62.31,1229.0
19025,78.76,62.31,1229.0
19027,78.76,62.31,1229.0
19029,78.76,62.31,1229.0
19031,78.76,62.31,1229.0
19033,78.76,62.31,1229.0
19035,78.76,62.31,1229.0
19037,78.76,62.31,1229.0
19039,78.76,62.31,1229.0
19041,78.76,62.31,1229.0
19043,78.76,62.31,1229.0
19045,78.76,62.31,1229.0
19047,78.76,62.31,1229.0
19049,78.76,62.31,1229.0
19051,78.76,62.31,1229.0
19053,78.76,62.31,1229.0
19055,78.76,62.31,1229.0
19057,78.76,62.31,1229.0
19059,78.76,62.31,1229.0
19061,78.76,62.31,1229.0
19063,78.76,62.31,1229.0
19065,78.76,62.31,1229.0
19067,78.76,62.31,1229.0
19069,78.76,62.31,1229.0
19071,78.76,62.31,1229.0
19073,78.76,62.31,1229.0
19075,78.76,62.31,1229.0
19077,78.76,62.31,1229.0
19079,78.76,62.31,1229.0
19081,78.76,62.31,1229.0
19083,78.76,62.31,1229.0
19085,78.76,62.31,1229.0
19087,78.76,62.31,1229.0
19089,78.76,62.31,1229.0
19091,78.76,62.31,1229.0
19093,78.76,62.31,1229.0
19095,78.76,62.31,1229.0
19097,78.76,62.31,1229.0
19099,78.76,62.31,1229.0
19101,78.76,62.31,1229.0
19103,78.76,62.31,1229.0
19105,78.76,62.31,1229.0
19107,78.76,62.31,1229.0
19109,78.76,62.31,1229.0
19111,78.76,62.31,1229.0
19113,78.76,62.31,1229.0
19115,78.76,62.31,1229.0
19117,78.76,62.31,1229.0
19119,78.76,62.31,1229.0
19121,78.76,62.31,1229.0
19123,78.76,62.31,1229.0
19125,78.76,62.31,1229.0
19127,78.76,62.31,1229.0
19129,78.76,62.31,1229.0
19131,78.76,62.31,1229.0
19133,78.76,62.31,1229.0
19135,78.76,62.31,1229.0
19137,78.76,62.31,1229.0
19139,78.76,62.31,1229.0
19141,78.76,62.31,1229.0
19143,78.76,62.31,1229.0
19145,78.76,62.31,1229.0
19147,78.76,62.31,1229.0
19149,78.76,62.31,1229.0
19151,78.76,62.31,1229.0
19153,78.76,62.31,1229.0
19155,78.76,62.31,1229.0
19157,78.76,62.31,1229.0
19159,78.76,62.31,1229.0
19161,78.76,62.31,1229.0
19163,78.76,62.31,1229.0
19165,78.76,62.31,1229.0
19167,78.76,62.31,1229.0
19169,78.76,62.31,1229.0
19171,78.76,62.31,1229.0
19173,78.76,62.31,1229.0
19175,78.76,62.31,1229.0
19177,78.76,62.31,1229.0
19179,78.76,62.31,1229.0
19181,78.76,62.31,1229.0
19183,78.76,62.31,1229.0
19185,78.76,62.31,1229.0
19187,78.76,62.31,1229.0
19189,78.76,62.31,1229.0
19191,78.76,62.31,1229.0
19193,78.76,62.31,1229.0
19195,78.76,62.31,1229.0
19197,78.76,62.31,1229.0
20001,47.16,41.55,35.65
20003,47.16,41.55,35.65
20005,47.16,41.55,35.65
20007,47.16,41.55,35.65
20009,47.16,41.55,35.65
20011,47.16,41.55,35.65
20013,47.16,41.55,35.65
20015,47.16,41.55,35.65
20017,47.16,41.55,35.65
