fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01097,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01099,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01101,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01103,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01105,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01107,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01109,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01111,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01113,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01115,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01117,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01119,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01121,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01123,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01125,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01127,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01129,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01131,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01133,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04001,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04003,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04005,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04007,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04009,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04011,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04012,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
04013,83.3,96.1,93.4,88.3,79.9,74.8,62.3,76.8,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
