fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
04023,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04025,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04027,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
05001,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05003,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05005,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05007,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05009,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05011,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05013,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05015,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05017,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05019,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05021,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05023,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05025,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05027,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05029,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05031,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05033,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
05035,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
