fips,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06049,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06051,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06053,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06055,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06057,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06059,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06061,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06063,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06065,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06067,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06069,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06071,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06073,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06075,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06077,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06079,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06081,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06083,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06085,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06087,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06089,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06091,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06093,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06095,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06097,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06099,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06101,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06103,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06105,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06107,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06109,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06111,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06113,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06115,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
08001,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08003,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08005,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08007,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08009,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08011,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
