fips,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01111,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01113,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01115,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01117,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01119,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01121,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01123,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01125,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01127,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
01129,0.00405005,0.0035509,0.00349654,0.00300727,0.00314318,0.00381283,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
